"X.U.FEFF.identifiant","id_dicom","nom","type","payant","adresse","arrondissement","statut_ouverture","horaires_periode","horaires_lundi","horaires_mardi","horaires_mercredi","horaires_jeudi","horaires_vendredi","horaires_samedi","horaires_dimanche","geo_shape","geo_point_2d","proposition_usager","latitude","longitude","payant_original","est_payant","num_arrondissement","zone_paris","categorie","est_ouvert"
"LC30","","Eglise Lutherienne Suedoise","Lieux De Culte","Non","9 RUE MEDERIC",75017,NA,"Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.","","","","","","","","{""coordinates"": [2.303077205432009, 48.880710584315935], ""type"": ""Point""}","48.880710584315935, 2.303077205432009","Non",48.8807105843159,2.30307720543201,"Non",FALSE,17,"Nord-Est (17-20)","BÃ¢timent climatisÃ©",FALSE
"LC36","19457","Eglise Saint-Bernard de la Chapelle","Lieux De Culte","Non","6b RUE SAINT-LUC",75018,NA,"Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.","","","","","","","","{""coordinates"": [2.3550545998892063, 48.88605859760304], ""type"": ""Point""}","48.88605859760304, 2.3550545998892063","Non",48.886058597603,2.35505459988921,"Non",FALSE,18,"Nord-Est (17-20)","BÃ¢timent climatisÃ©",FALSE
"LC40","19435","Eglise Notre-Dame de Clignancourt","Lieux De Culte","Non","2 PL JULES JOFFRIN",75018,NA,"Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.","","","","","","","","{""coordinates"": [2.34504134718121, 48.89313541160148], ""type"": ""Point""}","48.89313541160148, 2.34504134718121","Non",48.8931354116015,2.34504134718121,"Non",FALSE,18,"Nord-Est (17-20)","BÃ¢timent climatisÃ©",FALSE
"LC41","","Chapelle Notre-Dame de Bon Conseil","Lieux De Culte","Non","140 RUE CLIGNANCOURT",75018,NA,"Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.","","","","","","","","{""coordinates"": [2.350306044217291, 48.894985863593554], ""type"": ""Point""}","48.894985863593554, 2.350306044217291","Non",48.8949858635936,2.35030604421729,"Non",FALSE,18,"Nord-Est (17-20)","BÃ¢timent climatisÃ©",FALSE
"LC42","19491","Basilique Sainte-Clotilde","Lieux De Culte","Non","23b RUE LAS CASES",75007,NA,"Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.","","","","","","","","{""coordinates"": [2.319534413493618, 48.85866730407005], ""type"": ""Point""}","48.85866730407005, 2.319534413493618","Non",48.8586673040701,2.31953441349362,"Non",FALSE,7,"Ouest (5-8)","BÃ¢timent climatisÃ©",FALSE
"OM104","","PREAU PARC DE CHOISY","Ombrière Pérenne","Non","1 RUE GEORGE EASTMAN",75013,NA,"Horaires d'ouverture de l'espace vert","","","","","","","","{""coordinates"": [2.3613151366227165, 48.82824742406595], ""type"": ""Point""}","48.82824742406595, 2.3613151366227165","Non",48.8282474240659,2.36131513662272,"Non",FALSE,13,"Sud-Ouest (13-16)","Autre",FALSE
"LC128","","Chapelle Notre-Dame de la Compassion","Lieux De Culte","Non","1 BD AURELLE DE PALADINES",75017,NA,"Les horaires étant susceptibles d'évoluer, merci de vous renseigner directement sur place.","","","","","","","","{""coordinates"": [2.2832170313284434, 48.881498817868554], ""type"": ""Point""}","48.881498817868554, 2.2832170313284434","Non",48.8814988178686,2.28321703132844,"Non",FALSE,17,"Nord-Est (17-20)","BÃ¢timent climatisÃ©",FALSE
"MU67","","Musée du Luxembourg","Musée","Oui","19 rue de Vaugirard",75006,"Ouvert",NA,"10h30 - 22h","10h30 - 19h","10h30 - 19h","10h30 - 19h","10h30 - 19h","10h30 - 19h","10h30 - 19h","{""coordinates"": [2.3343982642609435, 48.8483279195105], ""type"": ""Point""}","48.8483279195105, 2.3343982642609435","Non",48.8483279195105,2.33439826426094,"Oui",TRUE,6,"Ouest (5-8)","Autre",TRUE
"TB1","3097","Terrain de boules Saint Bernard","Terrain De Boules","Non","21 rue Saint Bernard",75011,NA,NA,"","","","","","","","{""coordinates"": [2.3813229112671976, 48.85186385510276], ""type"": ""Point""}","48.85186385510276, 2.3813229112671976","Non",48.8518638551028,2.3813229112672,"Non",FALSE,11,"Sud (9-12)","Espace vert",FALSE
"MU36","","Musée National Henner","Musée","Oui","43 avenue de Villiers",75017,NA,NA,"","","","","","","","{""coordinates"": [2.3076337828692397, 48.882935711479966], ""type"": ""Point""}","48.882935711479966, 2.3076337828692397","Non",48.88293571148,2.30763378286924,"Oui",TRUE,17,"Nord-Est (17-20)","Autre",FALSE
